epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1220.48,1.84021,1.82756,1.67889,0.49313,0.41209,0.40456,0.18518,2.2144,1.93176,1.6784,0.000456758,0.000456758,0.000456758
57,1238.72,1.63065,1.39846,1.46029,0.49313,0.41209,0.40456,0.18518,2.2144,1.93176,1.6784,0.000434754,0.000434754,0.000434754
58,1250.19,1.56323,1.28026,1.52209,0.49313,0.41209,0.40456,0.18518,2.2144,1.93176,1.6784,0.000412749,0.000412749,0.000412749
59,1262.18,1.76421,1.51952,1.80089,0.55967,0.42226,0.41321,0.17353,2.18736,1.81257,1.6709,0.000390745,0.000390745,0.000390745
60,1276.97,1.52486,1.33806,1.51107,0.55967,0.42226,0.41321,0.17353,2.18736,1.81257,1.6709,0.00036874,0.00036874,0.00036874
61,1293.64,1.53364,1.29005,1.56621,0.55967,0.42226,0.41321,0.17353,2.18736,1.81257,1.6709,0.000346736,0.000346736,0.000346736
62,1304.27,1.57892,1.29034,1.53111,0.61114,0.35062,0.38495,0.15488,2.26576,1.79551,1.69053,0.000324732,0.000324732,0.000324732
63,1318.89,1.58692,1.27531,1.57414,0.61114,0.35062,0.38495,0.15488,2.26576,1.79551,1.69053,0.000302727,0.000302727,0.000302727
64,1334.77,1.58114,1.33485,1.48569,0.61114,0.35062,0.38495,0.15488,2.26576,1.79551,1.69053,0.000280723,0.000280723,0.000280723
65,1349.44,1.7823,1.36608,1.57887,0.61114,0.35062,0.38495,0.15488,2.26576,1.79551,1.69053,0.000258718,0.000258718,0.000258718
66,1360,1.43794,1.30788,1.43614,0.5923,0.35743,0.39881,0.15297,2.25147,1.76718,1.68745,0.000236714,0.000236714,0.000236714
67,1374.95,1.48939,1.29862,1.41048,0.5923,0.35743,0.39881,0.15297,2.25147,1.76718,1.68745,0.00021471,0.00021471,0.00021471
68,1391.95,1.53527,1.33282,1.525,0.5923,0.35743,0.39881,0.15297,2.25147,1.76718,1.68745,0.000192705,0.000192705,0.000192705
69,1403.89,1.63989,1.11706,1.45087,0.5996,0.34841,0.39226,0.15753,2.23197,1.75638,1.68271,0.000170701,0.000170701,0.000170701
70,1416.64,1.43096,1.30242,1.48935,0.5996,0.34841,0.39226,0.15753,2.23197,1.75638,1.68271,0.000148696,0.000148696,0.000148696
71,1431.6,1.49973,1.12158,1.39484,0.5996,0.34841,0.39226,0.15753,2.23197,1.75638,1.68271,0.000126692,0.000126692,0.000126692
72,1447.42,1.47067,1.02676,1.38617,0.59205,0.36702,0.39609,0.16671,2.19438,1.7516,1.67443,0.000104688,0.000104688,0.000104688
73,1458.01,1.45054,1.14211,1.4546,0.59205,0.36702,0.39609,0.16671,2.19438,1.7516,1.67443,8.26832e-05,8.26832e-05,8.26832e-05
74,1472.55,1.23844,1.26969,1.34118,0.59205,0.36702,0.39609,0.16671,2.19438,1.7516,1.67443,6.06788e-05,6.06788e-05,6.06788e-05
75,1489.73,1.3892,1.06466,1.31582,0.58701,0.36702,0.40567,0.16928,2.18975,1.75072,1.67649,3.86744e-05,3.86744e-05,3.86744e-05
